channel,color,algorithm,profile,receiver,modem_fs,capture_fs,packets,successful_packets,psr,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,total_decode_seconds,snr_db,seed,status
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,57,0.335294117647,0,0.074833948,0.074833948,30,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,56,0.329411764706,0,0.013514382,0.013514382,30,20260715,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,92,0.541176470588,0,0.002980083,0.002980083,0,20260715,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,71,0.417647058824,0,0.003772355,0.003772355,0,20260715,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,71,0.417647058824,0,0.00857996,0.00857996,0,20260715,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,74,0.435294117647,0,0.080056519,0.080056519,0,20260715,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,74,0.435294117647,0,0.020857693,0.020857693,0,20260715,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,84,0.494117647059,0,0.00347037,0.00347037,5,20260715,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,72,0.423529411765,0,0.003072149,0.003072149,5,20260715,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,72,0.423529411765,0,0.009361876,0.009361876,5,20260715,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,86,0.505882352941,0,0.070038346,0.070038346,5,20260715,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,84,0.494117647059,0,0.014039055,0.014039055,5,20260715,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,94,0.552941176471,0,0.003137738,0.003137738,10,20260715,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,71,0.417647058824,0,0.00354107,0.00354107,10,20260715,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,62,0.364705882353,0,0.013305727,0.013305727,10,20260715,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,72,0.423529411765,0,0.071036008,0.071036008,10,20260715,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,72,0.423529411765,0,0.013477641,0.013477641,10,20260715,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,83,0.488235294118,0,0.003030611,0.003030611,15,20260715,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,48,0.282352941176,0,0.002996807,0.002996807,15,20260715,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,44,0.258823529412,0,0.012394829,0.012394829,15,20260715,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,52,0.305882352941,0,0.069501551,0.069501551,15,20260715,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,52,0.305882352941,0,0.013043967,0.013043967,15,20260715,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,86,0.505882352941,0,0.002988493,0.002988493,20,20260715,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,53,0.311764705882,0,0.002936613,0.002936613,20,20260715,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,42,0.247058823529,0,0.012372613,0.012372613,20,20260715,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,56,0.329411764706,0,0.069586264,0.069586264,20,20260715,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,57,0.335294117647,0,0.013976871,0.013976871,20,20260715,ok
