juna_core_commit,channel,snr_db,pilot_ratio,outer_pilot_spacing,inner_pilot_spacing,code_rate,nfft,cp,modem_fs,capture_fs,bandwidth_policy,requested_modem_bandwidth_hz,channel_bandwidth_hz,effective_bandwidth_hz,effective_bw,algorithm,blocks,successful_blocks,psr,payload_bits,bit_errors,ber,mean_decode_seconds_per_block,capture_duration_seconds,covered_duration_seconds,effective_data_rate_bps,seed,status
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,444,0,0,693084,216713,0.312679271199,0.0393469556419,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,1735,493,0.284149855908,60725,3735,0.0615067929189,0.00198253822651,47.7916666667,47.7125,361.046207498,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,1735,1,0.000576368876081,60725,13998,0.230514615068,0.00204832303055,47.7916666667,47.7125,0.732345248474,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,1735,306,0.176368876081,60725,9456,0.155718402635,0.00657374456196,47.7916666667,47.7125,224.097646033,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,1735,236,0.136023054755,60725,13024,0.214475092631,0.0371935827326,47.7916666667,47.7125,172.83347864,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,1735,236,0.136023054755,60725,13020,0.214409221902,0.00791278824899,47.7916666667,47.7125,172.83347864,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,881,125,0.141884222474,62551,3971,0.0634841968953,0.00435391727128,47.7916666667,47.7208333333,185.701830863,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,881,1,0.0011350737798,62551,9603,0.153522725456,0.00429219175028,47.7916666667,47.7208333333,1.4856146469,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,881,218,0.247446083995,62551,4796,0.0766734344775,0.0155964123825,47.7916666667,47.7208333333,323.863993025,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,881,55,0.0624290578888,62551,10103,0.161516202779,0.0910795886016,47.7916666667,47.7208333333,81.7088055798,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.5,4,4,0.0625,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,881,55,0.0624290578888,62551,10142,0.16213969401,0.0175114609591,47.7916666667,47.7208333333,81.7088055798,1,ok
